ID;District;Elevation;Slope;Aspect;Aspect_num;ELE;ELE_Geo;Age;Dg;HL;V;SI;geology;geology2;Geo;Geology3;TPI200;TPI500;TPI1000;TPI2000;SP200;SP500;SP1000;SP2000
1;Wêgierska Górka;900;16;NE;69;2;20;67;24,91595038;24,50504391;449,9407866;32,3;Slaska;Slaska;0;Godulskie gorne;20,885;77,326;131,59;63,342;6;6;6;6
2;Ujsoˆy;970;11;SW;255;3;31;78;33,51151614;28,10696478;660,0044182;32,7;Magurska;Magurska;1;Warstwy Magurskie;26,844;85,205;141,02;109,53;6;6;6;6
3;Wisˆa;578;3;NE;70;1;10;94;39,09500847;33,10124859;568,4594166;35,7;Slaska;Slaska;0;Godulskie gorne;-12,622;-33,795;-5,0292;28,743;1;1;4;4
4;Ujsoˆy;880;24;NW;355;2;21;108;43,50993363;35,96230491;874,164381;37,4;Magurska;Magurska;1;Warstwy Magurskie;24,252;64,434;100,6;104,04;6;6;6;6
5;Ujsoˆy;875;25;NE;0;2;21;58;29,35380238;27,30412395;462,7555559;37,5;Magurska;Magurska;1;Warstwy Magurskie;8,851;27,613;54,754;93,135;5;5;5;6
6;Ujsoˆy;990;11;NW;270;3;31;87;40,49769224;30,87993342;708,2353078;33,7;Magurska;Magurska;1;Warstwy ˆ¥ckie;9,0194;9,7086;27,768;51,754;5;4;5;5
7;Wêgierska Górka;920;3;SW;198;2;20;60;24,69261943;21,03257635;521,7303148;30,4;Slaska;Slaska;0;Godulskie gorne;3,2529;8,8849;26,011;22,709;4;4;4;4
8;Ujsoˆy;735;12;NE;10;1;11;66;30,37010592;30,60616521;774,1846272;39;Magurska;Magurska;1;Warstwy ropianieckie;-0,30444;-1,8426;-47,165;-49,585;4;4;2;2
9;Jele˜nia;1250;26;SE;125;3;31;93;38,93643324;25,01722297;479,7463144;27,4;Inne;Inne -magurska;1;Warstwy koluwialne;1,1724;9,4866;88,063;239,75;4;4;6;6
10;Wêgierska Górka;1050;19;SE;106;3;30;110;36,3858489;27,592595;859,8216116;29,8;Slaska;Slaska;0;Godulskie gorne;11,064;13,116;48,883;98,356;5;4;5;6
11;Wisˆa;620;7;NW;290;1;10;77;31,34568645;28,19969338;565,1628676;33,6;Slaska;Slaska;0;Istebnianskie dolne;7,8744;0,15997;-12,362;-58,523;5;4;4;2
12;Ujsoˆy;930;23;SE;140;3;31;105;37,74750701;31,26045182;733,6993614;32,8;Magurska;Magurska;1;Warstwy Magurskie;1,915;26,45;31,959;41,37;4;5;5;4
13;Ujsoˆy;875;24;SW;180;2;21;65;32,45663951;31,22763471;502,579672;38,8;Magurska;Magurska;1;Warstwy ˆ¥ckie;-16,089;9,4518;51,233;63,723;1;4;5;5
14;Wêgierska Górka;1290;14;NW;273;3;31;135;37,46385591;19,22273664;473,4886752;20,4;Slaska;Slaska;1;Godulskie gorne;14,015;68,145;152,28;272,05;6;6;6;6
15;Wêgierska Górka;855;7;SW;264;2;21;69;26,49974843;27,00657447;626,5298359;34,1;Magurska;Magurska;1;Piaskowce pasierbieckie;10,275;42,955;69,296;102,39;6;6;6;6
16;Wêgierska Górka;780;10;SE;93;2;21;97;41,56243797;35,70911036;430,1479499;37,2;Slaska;Slaska;1;Godulskie gorne;-5,3541;6,582;23,065;39,437;4;4;4;4
17;Ujsoˆy;905;24;SE;101;2;21;67;32,40438423;28,57068067;614,2956369;35,9;Magurska;Magurska;1;Warstwy Magurskie;-18,308;-47,949;-67,696;-60,283;1;1;1;2
18;Wêgierska Górka;950;26;NW;305;3;31;92;36,91641911;31,06633117;678,6336532;34,5;Slaska;Slaska;1;Godulskie gorne;;;;;;;;
19;Wêgierska Górka;690;21;SW;268;1;10;112;37,62673322;32,96718322;521,3610164;33,7;Slaska;Slaska;0;Godulskie gorne;-12,854;-52,475;-90,989;-82,685;1;1;1;1
20;Wêgierska Górka;965;8;NE;5;3;30;122;34,46243527;28,31869502;390,4118737;28,3;Slaska;Slaska;0;Istebnianskie dolne;16,936;46,083;52,799;119,67;6;6;6;6
21;Wêgierska Górka;990;16;NW;320;3;30;114;34,22515157;26,3886482;390,7102283;27,8;Slaska;Slaska;0;Godulskie dolne;-10,221;-25,606;-0,80432;55,074;2;2;4;5
22;Jele˜nia;1000;18;SW;195;3;31;76;32,59842646;27,80224598;659,0911528;35,3;Magurska;Magurska;1;Warstwy Magurskie;4,6594;29,289;66,642;93,115;4;5;6;5
23;Ujsoˆy;920;26;SW;185;2;21;101;35,19773856;31,37986309;706,6196199;33,9;Magurska;Magurska;1;Warstwy Magurskie;-20,858;-43,568;-25,742;29,554;1;1;4;4
24;Ujsoˆy;1205;27;SW;180;3;31;88;35,95510073;25,54591917;625,1407217;29,8;Magurska;Magurska;1;Warstwy Magurskie;2,7894;29,763;74,774;171,89;4;5;6;6
25;Wêgierska Górka;850;22;SE;154;2;20;130;37,03782562;31,57745702;485,0383916;31,5;Slaska;Slaska;0;Istebnianskie dolne;-19,189;-47,535;-51,273;29,245;1;1;1;5
26;Ujsoˆy;1030;15;NE;25;3;31;64;31,89616255;21,21198038;419,2337262;28,4;Magurska;Magurska;1;Warstwy Magurskie;2,6899;13,223;63,582;167,62;4;4;6;6
27;Wêgierska Górka;740;19;SW;180;1;10;135;30,06398039;26,98281826;504,3422441;26,5;Slaska;Slaska;0;Istebnianskie dolne;-11,32;-30,681;-34,291;-29,122;1;1;2;4
28;Wêgierska Górka;1100;22;SW;245;3;31;66;21,27908304;18,65425913;609,477031;26,2;Slaska;Slaska;1;Godulskie gorne;13,337;36,708;48,677;139,29;6;6;5;6
29;Wisˆa;740;10;NW;300;1;10;123;41,07033221;33,4148504;663,240716;33,4;Slaska;Slaska;0;Istebnianskie dolne;4,7847;39,165;72,411;69,976;4;6;6;5
30;Wêgierska Górka;900;19;SE;177;2;20;102;36,5332554;30,52806165;730,5700165;32,4;Slaska;Slaska;0;Istebnianskie dolne;21,161;54,343;89,683;130,8;6;6;6;6
31;Ujsoˆy;1195;15;SE;110;3;31;122;43,53876257;25,92893277;441,825467;26,7;Magurska;Magurska;1;Warstwy Magurskie;8,4063;25,597;66,868;174,05;5;5;6;6
32;Ujsoˆy;660;27;NE;0;1;11;82;32,00338188;31,74324311;361,6016732;35,6;Magurska;Magurska;1;Warstwy Magurskie;-4,3975;-25,799;-33,346;3,2769;4;2;2;4
33;Ujsoˆy;700;26;SE;90;1;11;95;41,1777077;37,28223578;817,7211875;39,3;Magurska;Magurska;1;Warstwy Magurskie;-3,3091;-3,9546;-5,8779;-14,169;4;4;4;4
34;Wisˆa;1045;12;SE;170;3;30;71;31,34274758;21,67513103;504,1605393;28,6;Slaska;Slaska;0;Istebnianskie dolne;12,509;27,642;45,253;127,8;6;5;5;6
35;Ujsoˆy;1080;14;SW;200;3;31;111;49,61619536;35,12875434;702,5619686;35,5;Magurska;Magurska;1;Warstwy Magurskie;4,5343;21,51;31,749;54,273;4;5;5;5
36;Wêgierska Górka;975;15;SE;130;3;30;68;31,67075651;23,75570665;375,5043142;30,9;Slaska;Slaska;0;Istebnianskie dolne;23,897;69,647;125,78;197,66;6;6;6;6
37;Wêgierska Górka;860;32;SW;216;2;20;134;39,16362127;31,41285394;733,4394237;31,3;Slaska;Slaska;0;Godulskie gorne;1,4675;-14,576;-38,225;-71,097;4;2;2;1
38;Wêgierska Górka;920;25;NW;354;2;20;71;29,86637503;25,40370483;763,3065957;32,5;Slaska;Slaska;0;Godulskie gorne;10,955;14,161;19,786;-27,611;5;4;4;4
39;Ujsoˆy;900;19;SW;265;2;21;78;33,68870519;29,37991497;696,4092158;33,8;Magurska;Magurska;1;Warstwy Magurskie;7,5059;65,549;89,058;55,587;5;6;6;5
40;Ujsoˆy;800;10;SW;180;2;21;118;57,50483071;40,86024451;817,8579053;40,9;Magurska;Magurska;1;Warstwy ˆ¥ckie;7,4439;1,5942;0,25201;-15,68;5;4;4;4
41;Jele˜nia;860;24;SW;225;2;21;112;42,35419626;32,92367267;698,6461597;33,8;Magurska;Magurska;1;Warstwy Magurskie;-6,2634;14,068;42,754;97,108;2;4;5;5
42;Wêgierska Górka;825;17;SW;220;2;20;109;35,89805009;30,49957453;790,8962475;31,4;Slaska;Slaska;0;Godulskie dolne;-3,8858;-25,516;-24,632;-10,938;2;1;2;4
43;Ujsoˆy;1005;5;SW;184;3;31;41;20,44446512;18,38827097;375,6833417;35,6;Magurska;Magurska;1;Warstwy Magurskie;5,2863;24,126;23,554;12,12;4;5;4;4
44;Ujsoˆy;740;24;SW;267;1;11;119;47,7481556;38,82097485;840,5661938;38,8;Magurska;Magurska;1;Warstwy Magurskie;-14,275;-41,988;-70,225;-136,79;1;1;1;1
45;Wêgierska Górka;720;13;SE;159;1;10;62;28,5525247;24,9792037;287,309422;33,5;Slaska;Slaska;0;Godulskie gorne;-15,475;-59,093;-105,39;-98,123;1;1;1;1
46;Wisˆa;650;22;NE;55;1;10;78;38,3700234;34,22514285;585,9490669;38,1;Slaska;Slaska;0;Godulskie gorne;12,885;3,5439;-16,387;-34,061;6;4;4;2
47;Ujsoˆy;760;17;NW;270;1;11;94;40,64135524;35,15827154;832,892702;37,6;Magurska;Magurska;1;Warstwy Magurskie;0,035828;27,479;42,434;20,026;4;5;5;4
48;Ujsoˆy;930;9;SW;195;3;31;42;25,03182974;21,30743213;394,9636861;37,2;Magurska;Magurska;1;Warstwy Magurskie;-17,413;-9,8363;-25,86;-54,006;1;4;4;2
49;Wêgierska Górka;1030;17;NE;65;3;30;102;30,12350577;23,25190865;382,7974949;25,3;Slaska;Slaska;0;Istebnianskie dolne;-4,4716;9,5289;35,081;88,592;4;4;5;6
50;Wêgierska Górka;1065;22;NE;79;3;30;70;25,39093342;18,4287814;291,5163797;24,6;Slaska;Slaska;0;Godulskie gorne;2,8112;13,494;62,921;124,58;4;4;6;6
51;Wisˆa;802;14;SW;200;2;20;122;45,6082036;35,48717459;873,0088184;35,9;Slaska;Slaska;0;Istebnianskie dolne;-0,22345;9,8729;47,596;84,709;4;4;5;6
52;Wêgierska Górka;1100;7;SE;121;3;30;112;25,69611514;16,38609608;398,7198567;18,3;Slaska;Slaska;0;Godulskie dolne;16,259;57,574;129,13;229,68;6;6;6;6
53;Wêgierska Górka;900;22;SW;260;2;20;114;35,82539004;30,22976648;722,037111;31,2;Slaska;Slaska;0;Godulskie dolne;-18,478;-48,795;-49,503;-15,385;1;1;1;4
54;Ujsoˆy;890;12;SE;90;2;21;73;31,93244289;29,87007766;685,9874086;36,6;Magurska;Magurska;1;Warstwy Magurskie;14,628;48,608;90,337;121,92;6;6;6;6
55;Wêgierska Górka;978;23;NE;80;3;30;110;33,62071696;25,70530319;491,4996598;27,7;Slaska;Slaska;0;Istebnianskie dolne;0,0094604;10,556;18,636;59,857;4;4;4;5
56;Ujsoˆy;880;19;SE;90;2;21;42;22,25109479;20,83554906;399,4465205;38,9;Magurska;Magurska;1;Warstwy ˆ¥ckie;12,767;45,625;43,149;67,699;6;6;5;5
57;Wêgierska Górka;1010;0;NE;0;3;30;60;24,08601869;17,69611051;343,0799177;26,8;Slaska;Slaska;0;Godulskie gorne;23,14;88,526;134,14;116,54;6;6;6;6
58;Ujsoˆy;810;23;SE;90;2;21;85;36,74940993;34,40608688;1083,955729;38,1;Magurska;Magurska;1;Warstwy Magurskie;5,865;-29,979;-48,427;-9,7363;4;2;2;4
59;Ujsoˆy;870;17;SE;158;2;21;65;33,74239244;29,27535603;499,7569387;36,3;Magurska;Magurska;1;Warstwy Magurskie;21,062;37,31;5,0088;-65,449;6;6;4;2
60;Wêgierska Górka;910;11;SE;154;2;20;88;30,79263981;28,72628326;687,4362764;32,6;Slaska;Slaska;0;Godulskie gorne;6,3918;23,64;82,773;30,741;5;5;6;5
61;Wêgierska Górka;940;13;SW;211;3;30;75;25,15454454;23,94457817;335,9906532;29,2;Slaska;Slaska;0;Istebnianskie dolne;7,0375;40,048;59,204;31,378;5;6;6;5
62;Wêgierska Górka;768;8;SE;175;1;10;89;36,22552547;29,65526515;487,3379984;33,2;Slaska;Slaska;0;Istebnianskie dolne;4,463;-6,2136;-34,234;-49,032;4;4;2;2
63;Wisˆa;825;13;NW;295;2;20;94;36,73933762;28,02209933;534,0375221;31;Slaska;Slaska;0;Istebnianskie dolne;-2,1913;7,3216;9,6318;1,9677;4;4;4;4
64;Ujsoˆy;785;32;SW;180;2;21;61;28,46102598;29,16835189;540,4783515;38;brak;Inne -magurska;1;Warstwy koluwialne;11,248;2,8754;-21,56;-11,277;5;4;4;4
65;Wisˆa;700;22;NE;5;1;10;82;33,25573635;32,17332344;473,0220929;36;Slaska;Slaska;0;Istebnianskie dolne;-3,3517;-13,126;-19,372;-13,601;4;4;4;4
66;Wêgierska Górka;680;20;NW;321;1;10;57;27,52125494;23,8122576;381,0297783;33,3;Slaska;Slaska;0;Godulskie gorne;1,1097;-28,827;-62,781;-45,369;4;1;1;2
67;Ujsoˆy;795;24;NE;12;2;21;97;43,40462085;37,36157042;926,7916601;39,6;Magurska;Magurska;1;Warstwy Magurskie;0,2558;-16,782;-10,392;-37,481;4;4;4;4
68;Wêgierska Górka;900;12;NE;12;2;20;111;29,37178756;28,34655191;621,7363381;29,9;Slaska;Slaska;0;Godulskie dolne;-9,7288;-35,18;-2,9612;43,676;2;1;4;5
69;Ujsoˆy;725;10;NE;0;1;11;62;38,05205816;33,72533365;635,9818749;41,4;Magurska;Magurska;1;Warstwy ˆ¥ckie;4,5161;-12,502;-21,297;-47,101;4;4;4;2
70;Wêgierska Górka;800;20;NW;274;2;20;81;24,66328904;25,01528626;429,9137025;31,1;Slaska;Slaska;0;Istebnianskie dolne;10,101;22,18;16,092;32,761;5;5;4;5
71;Ujsoˆy;770;16;NE;0;1;11;107;39,6405541;37,20770949;593,9475289;38,3;Magurska;Magurska;1;Warstwy Magurskie;-5,3752;-31,221;-46,838;-72,83;4;2;2;2
72;Wêgierska Górka;1120;18;SE;90;3;30;74;18,31951558;14,95805841;413,0722567;21,6;Slaska;Slaska;0;Godulskie dolne;21,448;58,865;120,35;250,65;6;6;6;6
73;Wêgierska Górka;1100;22;SE;114;3;30;99;29,85389058;22,82511751;423,6097833;25,5;Slaska;Slaska;0;Godulskie gorne;5,7764;42,215;93,946;155,04;4;6;6;6
74;Jele˜nia;1130;17;SW;254;3;31;125;47,51821966;31,78632919;839,5499351;32;Magurska;Magurska;1;Warstwy Magurskie;21,428;83,503;119,49;135,33;6;6;6;6
75;Ujsoˆy;1050;12;SW;180;3;31;77;37,77992605;28,49361439;458,7509262;33,3;Magurska;Magurska;1;Warstwy Magurskie;13,193;68,982;126,41;164,67;6;6;6;6
76;Wisˆa;615;15;SW;250;1;10;111;39,91628258;36,79777851;890,1752355;37,6;Slaska;Slaska;0;Godulskie gorne;22,21;45,46;21,426;-12,241;6;6;4;4
77;Wêgierska Górka;1070;20;SW;180;3;30;108;34,93873209;28,74799389;836,4694452;30,4;Slaska;Slaska;0;Istebnianskie dolne;2,2517;24,341;58,867;114,03;4;5;6;6
78;Wêgierska Górka;900;12;NE;13;2;20;79;29,24092859;27,00862055;586,9154661;31,9;Slaska;Slaska;0;Godulskie dolne;1,9658;3,8449;-7,8373;-17,054;4;4;4;4
79;Ujsoˆy;940;12;SW;260;3;31;75;34,2347985;28,65805607;837,591702;34,7;Magurska;Magurska;1;Warstwy Magurskie;10,477;46,35;39,998;-0,092651;5;6;5;4
80;Wêgierska Górka;1040;9,5;NE;46;3;30;98;40,09908099;27,12162064;687,6911818;29,3;Slaska;Slaska;0;Istebnianskie dolne;3,8218;6,5953;30,908;63,522;4;4;5;5
81;Wêgierska Górka;680;18;SW;245;1;11;40;16,42197038;15,58324267;144,417458;33,3;Magurska;Magurska;1;Piaskowce pasierbieckie;2,396;-29,26;-73,394;-55,962;4;1;1;2
82;Wêgierska Górka;905;13;SE;165;2;20;117;41,27736062;31,65937179;487,1044555;32,4;Slaska;Slaska;0;Godulskie dolne;10,372;3,7625;-28,8;-37,063;5;4;4;4
83;Ujsoˆy;725;17;NW;270;1;11;64;33,90477405;32,05397826;571,770096;40,2;Magurska;Magurska;1;Piaskowce pasierbieckie;-23,638;-54,743;-91,488;-172,61;1;1;1;1
84;Wêgierska Górka;940;30;NW;273;3;30;90;30,95153052;23,80607114;596,1157158;27,7;Slaska;Slaska;0;Istebnianskie dolne;1,0304;17,92;49,11;96,539;4;5;6;6
85;Ujsoˆy;900;11;NE;72;2;21;127;54,34857195;41,86171185;461,3392557;40,3;Magurska;Magurska;1;Warstwy Magurskie;-7,4313;-28,443;-50,434;-15,19;2;2;2;4
86;Ujsoˆy;1155;19;SW;185;3;31;55;23,85125573;18,88973947;356,3222936;30;Magurska;Magurska;1;Warstwy magurskie;;;;;;;;
87;Ujsoˆy;780;6;NW;270;2;21;79;37,17218802;32,13087775;630,0067165;36,9;Magurska;Magurska;1;Warstwy ˆ¥ckie;-5,132;-29,232;-64,731;-50,214;4;1;1;2
88;Ujsoˆy;645;30;SW;260;1;11;88;32,54163267;31,61252397;840,657337;35,4;Magurska;Magurska;1;Warstwy Magurskie;-6,1011;-40,553;-91,226;-129,8;4;1;1;1
89;Wêgierska Górka;1360;4;NW;277;3;31;136;33,43278705;12,76580847;204,2786098;11,8;Slaska;Slaska;1;Godulskie gorne;30,389;111,41;209,17;348,01;6;6;6;6
90;Wêgierska Górka;700;22;SE;162;1;10;116;31,54883833;31,87860002;710,9640452;33,9;Slaska;Slaska;0;Istebnianskie dolne;;;;;;;;
91;Wêgierska Górka;640;25;NE;4;1;11;60;27,5029414;26,00733602;387,7321156;35,1;Magurska;Magurska;1;Warstwy ropianieckie;-8,3057;-50,22;-87,119;-149,07;2;1;1;1
92;Wisˆa;1010;18;SW;200;3;30;73;26,84415339;20,37650183;318,7290354;26,1;Slaska;Slaska;0;Godulskie gorne;-3,7297;26,477;104,4;164,91;4;5;6;6
93;Wisˆa;765;20;NE;75;1;10;83;34,3548019;33,64995913;683,6938616;37,9;Slaska;Slaska;0;Godulskie gorne;-4,2647;-41,647;-55,516;0,86005;4;1;2;4
94;Wisˆa;941;15;NW;317;3;30;112;45,58909546;32,60884559;374,4881958;32,6;Slaska;Slaska;0;Istebnianskie dolne;14,304;54,952;81,548;90,183;6;6;6;6
95;Ujsoˆy;940;15;NE;10;3;31;65;29,52185185;28,1817002;613,1749952;37,1;Magurska;Magurska;1;Warstwy ˆ¥ckie;-6,1423;-32,361;-29,895;2,0944;4;2;4;4
96;Jele˜nia;1200;13;SE;135;3;31;104;23,69645799;20,31849356;465,7297953;23,2;Inne;Inne -magurska;1;Warstwy koluwialne;14,138;32,654;50,651;89,497;6;6;5;5
97;Wêgierska Górka;1180;34;SW;256;3;31;135;43,42698854;27,29185525;711,9519933;27,8;Slaska;Slaska;1;Godulskie gorne;-16,582;-25,672;32,638;150,8;1;2;5;6
98;Jele˜nia;870;11;NE;0;2;21;97;33,12399166;29,81110577;586,5470295;32,5;Magurska;Magurska;1;Warstwy Magurskie;-8,6023;-30,833;-34,361;-99,009;2;1;2;1
99;Wêgierska Górka;985;2;SE;140;3;30;57;26,69300782;20,47098337;320,4726549;29,7;Slaska;Slaska;0;Istebnianskie dolne;17,778;47,853;71,112;141,38;6;6;6;6
100;Wisˆa;1000;25;NW;290;3;30;76;28,34542105;23,06150249;427,2110797;28,9;Slaska;Slaska;0;Istebnianskie dolne;-3,5187;-15,109;10,593;82,57;4;2;4;5
101;Wêgierska Górka;900;12;NE;30;2;20;98;42,58917703;29,99270613;629,2904194;32,3;Slaska;Slaska;0;Godulskie dolne;-18,553;-39,839;-21,664;12,143;1;1;4;4
102;Wêgierska Górka;680;21;NW;313;1;11;68;32,09818642;29,84301368;449,2571405;36,3;Slaska;Slaska;1;Godulskie gorne;18,35;20,778;2,577;-48,145;6;5;4;4
103;Ujsoˆy;1020;5;SW;180;3;31;114;41,67235501;33,46014061;593,155249;33,8;Magurska;Magurska;1;Warstwy ˆ¥ckie;16,082;46,507;103,25;139,41;6;6;6;6
104;Ujsoˆy;1060;16;SE;165;3;31;120;49,99463655;33,78195744;549,1037035;33,3;Magurska;Magurska;1;Warstwy Magurskie;13,667;43,949;62,187;123,26;6;6;6;6
105;Wêgierska Górka;855;20;NW;297;2;21;77;30,21608016;29,22919482;483,1713123;34,1;Magurska;Magurska;1;Piaskowce pasierbieckie;5,3964;9,5719;41,034;76,373;5;4;5;6
106;Wêgierska Górka;710;23;SE;105;1;10;82;33,65585387;30,93964023;500,0700302;35,3;Slaska;Slaska;0;Godulskie gorne;-7,0492;-46,21;-99,478;-85,39;2;1;1;1
107;Wêgierska Górka;905;5;SE;170;2;20;72;28,52014201;24,76650381;513,7449104;31,1;Slaska;Slaska;0;Godulskie gorne;16,687;13,121;-52,124;-40,726;6;4;1;2
108;Wêgierska Górka;1000;24;NW;277;3;31;112;35,84275441;29,26702534;527,4115965;30,4;Magurska;Magurska;1;Piaskowce hieroglifowe;1,6636;-17,823;-25,308;-11,651;4;2;4;4
109;Jele˜nia;1040;26;SE;102;3;31;111;42,99971628;31,6612247;545,7146333;31,9;brak;Inne -magurska;1;Warstwy podmagurskie;3,651;18,783;-31,504;-20,639;4;5;4;4
110;Ujsoˆy;730;10;SE;170;1;11;72;34,95214774;31,55738038;550,7178113;37;Magurska;Magurska;1;Warstwy ˆ¥ckie;-3,2133;-30,502;-70,094;-141,27;4;2;1;1
111;Ujsoˆy;695;14;NW;318;1;11;97;37,25686178;36,37879344;571,1633391;38;Magurska;Magurska;1;Warstwy ˆ¥ckie;-13,253;-39,954;-73,091;-120,95;1;1;1;1
112;Wisˆa;950;30;NE;20;3;30;108;36,82945;30,54960917;649,9977014;31,5;Slaska;Slaska;0;Istebnianskie dolne;7,7745;24,861;28,801;29,314;5;5;5;4
113;Ujsoˆy;980;22;SE;130;3;31;93;41,32752854;32,46507354;839,733745;35,3;Magurska;Magurska;1;Warstwy Magurskie;3,7774;-10,537;-39,08;-11,003;4;4;2;4
114;Wêgierska Górka;785;6;SW;195;2;20;109;46,17096626;34,16084848;401,9347876;34,3;Slaska;Slaska;0;Godulskie dolne;-10,949;-36,302;-45,145;-56,445;1;1;1;2
115;Ujsoˆy;1050;20;NW;300;3;31;68;30,57003309;23,62364136;517,0292184;31,3;Magurska;Magurska;1;Warstwy Magurskie;6,4546;48,646;111,64;168,64;5;6;6;6
116;Ujsoˆy;770;15;SE;150;1;11;92;44,76399042;37,17111202;1141,768127;39,7;Magurska;Magurska;1;Warstwy Magurskie;-6,6677;-4,755;-7,9127;7,7723;2;4;4;4
117;Ujsoˆy;750;9;SW;240;1;11;45;25,10232002;23,97721923;375,1727985;39,1;Magurska;Magurska;1;Warstwy ˆ¥ckie;1,7564;-11,643;-32,509;-46,785;4;4;2;2
118;Wisˆa;983;17;NW;270;3;30;74;33,16180502;23,09806319;417,6439058;28,9;Slaska;Slaska;0;Istebnianskie dolne;1,664;-1,7344;15,168;72,098;4;4;4;5
119;Wêgierska Górka;780;10;SW;194;2;20;68;27,13810639;24,64232964;513,1000157;30,7;Slaska;Slaska;0;Istebnianskie dolne;-14,565;-48,389;-75,78;-131,27;1;1;1;1
120;Ujsoˆy;880;17;NW;270;2;21;63;32,12441275;28,67276807;589,2386107;37,6;Magurska;Magurska;1;warstwy biotytowe;0,20685;-4,0175;28,012;3,0206;4;4;4;4
121;Wêgierska Górka;760;14;NE;22;1;10;42;18,957534;20,39363807;219,2496789;36,3;Slaska;Slaska;0;Istebnianskie dolne;-3,2571;-7,9856;4,8145;-34,393;4;4;4;4
122;Wêgierska Górka;1210;26;NW;353;3;31;107;37,89108074;24,61513582;518,653661;26;Slaska;Slaska;1;Godulskie gorne;-29,702;-32,049;45,354;173;1;2;5;6
123;Wêgierska Górka;785;22;SE;152;2;20;54;26,72390172;24,90129824;333,2807287;34,6;Slaska;Slaska;0;Istebnianskie dolne;4,2314;-18,411;-63,296;4,4752;4;2;1;4
124;Jele˜nia;1120;13;NW;333;3;31;131;49,22615159;30,54284082;449,6208442;29,5;Magurska;Magurska;1;Warstwy Magurskie;-2,5386;-20,662;-61,101;-46,77;4;2;2;4
125;Wêgierska Górka;1100;14;SE;170;3;30;112;32,1588844;23,83847873;460,4896275;24,9;Slaska;Slaska;0;Godulskie dolne;-7,6394;0,31152;49,04;175,11;1;4;6;6
